,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,Generic policy,Reporting mechanism,Scope of practice,User guideline
209,aaugustin/websockets,0.008796423137682384,0.7131616595135908,0.010981177182193932,0.004295403165033911,0.02789753722087698,0.02789753722087698,0.006931452644046354,0.013974950560316413,0.1356993736951983,0.0006011609066789387,6.5,10,0,5,10,10,10,10,0,10,1,1,1,0
210,qutebrowser/qutebrowser,0.1470733967950474,0.6321530758226037,0.05608681250630068,0.024157605770265905,0.05200453147063403,0.05200453147063403,0.013580263529791787,0.02148978246539222,0.720250521920668,0.010437008616749314,6.8,10,3,0,10,0,10,10,8,10,0,0,0,0
211,encode/django-rest-framework,0.051344529487545684,0.8488912732474964,0.06250990106139379,0.05122187533641941,0.15223378952285332,0.15223378952285332,0.09204699928666604,0.08266315095583388,0.8058455114822546,0.008818397267193244,6.9,10,6,0,10,0,9,10,0,10,1,1,0,0
212,aio-libs/aiohttp-session,0.005275522160107726,0.5958512160228898,0.0073879919927416215,0.010001076542146626,0.0012724627254326105,0.0012724627254326105,0.001130567033203677,0.0018457481872116018,0.09394572025052192,0.00014901553528074378,5.9,10,3,0,10,0,9,10,9,10,0,1,0,0
213,jaraco/keyring,0.012999352947005778,0.5886981402002861,0.005011737258234083,0.0018839487565938207,0.006748884581724858,0.006748884581724858,0.0021400018842783887,0.002768622280817403,0.20876826722338201,0.0006513261806972907,6.5,10,0,0,10,0,10,10,0,10,0,1,0,0
214,tweepy/tweepy,0.017954263263129055,0.9569027181688127,0.013407837320160721,0.006190117343093982,0.05641251416084573,0.05641251416084573,0.06193892246194431,0.035464733025708635,0.40918580375782876,0.002276023153658866,3.5,10,1,0,0,0,10,0,0,10,1,1,1,0
215,pypa/setuptools,0.09152593749817835,0.517346208869814,0.03142416867088152,0.019119388524060716,0.013438709712058329,0.013438709712058329,0.015975988909675772,0.012920237310481213,0.8037578288100208,0.007642227186848211,6.0,2,0,0,10,10,10,10,0,10,0,1,0,0
216,mitmproxy/mitmproxy,0.06254845610823856,0.9166666666666666,0.04584731483215001,0.0321455484982237,0.19664112792814076,0.19664112792814076,0.054186462805690526,0.08239947264337508,0.8392484342379958,0.010345395313050225,6.2,6,3,0,10,0,10,10,3,4,1,1,1,0
217,janeczku/calibre-web,0.025141797874634938,0.5602646638054363,0.02308567478433688,0.0074389062331790285,0.06950223620559132,0.06950223620559132,0.01864089691651301,0.02201713909030982,0.45720250521920663,0.01637443886851484,5.3,10,0,0,10,0,10,10,0,10,1,1,1,1
218,dask/distributed,0.03438707759389555,0.5527539341917024,0.0634460014113513,0.05572182150931208,0.00846160867207508,0.00846160867207508,0.009677115438969569,0.007514831905075807,0.6346555323590813,0.0450344355822782,6.2,10,0,0,10,0,10,10,0,10,0,0,0,0
